Year,Flood,feet
1,9.9974,32.8014694
2,10.5556,34.632923600000005
3,9.9014,32.4864934
4,11.48,37.66588
5,12.846,42.147726
6,11.133,36.527373
7,10.1126,33.1794406
8,10.306,33.813986
9,10.498,34.443937999999996
10,10.306,33.813986
11,10.306,33.813986
12,10.8642,35.6454402
13,10.786,35.388866
14,10.786,35.388866
15,10.845,35.58244500000001
16,10.845,35.58244500000001
17,11.133,36.527373
18,10.306,33.813986
19,9.767,32.045527
20,9.6888,31.788952800000004
21,9.3432,30.6550392
22,11.0754,36.3383874
23,10.306,33.813986
24,9.612,31.536972000000002
25,9.3432,30.6550392
26,9.228,30.277068
27,10.1894,33.4314214
28,10.4596,34.317947600000004
29,10.4596,34.317947600000004
30,9.7272,31.9149432
31,9.6696,31.725957600000005
32,9.6504,31.662962399999998
33,10.1318,33.2424358
34,10.5556,34.632923600000005
35,9.9014,32.4864934
36,9.9782,32.7384742
37,10.4596,34.317947600000004
38,11.8832,38.9887792
39,10.5364,34.5699284
40,10.4212,34.191957200000004
41,10.2278,33.557411800000004
42,10.2278,33.557411800000004
43,10.9026,35.7714306
44,9.324,30.592044
45,9.2472,30.3400632
46,9.2856,30.466053600000002
47,9.4392,30.9700152
48,9.3816,30.781029600000004
49,8.9962,29.5165322
50,8.9962,29.5165322
51,9.073,29.768513000000002
52,9.2664,30.403058400000003
53,9.767,32.045527
54,10.306,33.813986
55,9.0922,29.831508200000002
56,8.9962,29.5165322
57,8.9962,29.5165322
58,9.959,32.675479
59,9.516,31.221996
60,9.5736,31.410981600000003
61,9.228,30.277068
62,9.5736,31.410981600000003
63,9.2856,30.466053600000002
64,9.0922,29.831508200000002
65,10.1702,33.3684262
66,9.073,29.768513000000002
67,8.9962,29.5165322
68,8.881,29.138561000000003
69,9.228,30.277068
70,8.9578,29.390541800000005
71,9.228,30.277068
72,9.516,31.221996
73,10.0358,32.9274598
74,10.4212,34.191957200000004
75,10.4212,34.191957200000004
76,9.9206,32.549488600000004
77,10.845,35.58244500000001
78,10.5748,34.6959188
79,10.0358,32.9274598
80,9.767,32.045527
81,9.612,31.536972000000002
82,10.0358,32.9274598
83,8.9578,29.390541800000005
84,9.5544,31.3479864
85,9.5736,31.410981600000003
86,9.612,31.536972000000002
87,9.959,32.675479
88,9.228,30.277068
89,9.612,31.536972000000002
90,9.3432,30.6550392
91,10.5748,34.6959188
92,11.0754,36.3383874
93,10.2278,33.557411800000004
94,10.69,35.07389
95,13.924,45.684644
96,10.306,33.813986
97,10.6516,34.9478996
98,10.306,33.813986
99,11.923,39.119363
100,12.462,40.887822
101,11.037,36.212397
102,10.9986,36.086406600000004
103,11.037,36.212397
104,10.151,33.305431
105,11.1906,36.7163586
106,10.7284,35.199880400000005
107,10.9218,35.8344258
108,10.69,35.07389
109,10.5748,34.6959188
110,10.9986,36.086406600000004
111,10.941,35.897421
112,10.4596,34.317947600000004
113,10.9602,35.960416200000004
114,10.151,33.305431
115,10.0742,33.0534502
116,10.1126,33.1794406
117,9.767,32.045527
118,10.4212,34.191957200000004
119,10.1894,33.4314214
120,10.4212,34.191957200000004
121,9.8054,32.171517400000006
122,10.055,32.990455
123,10.4212,34.191957200000004
124,9.6888,31.788952800000004
125,10.3636,34.0029716
126,9.612,31.536972000000002
127,10.0358,32.9274598
128,9.8438,32.2975078
129,9.42,30.907020000000003
130,10.306,33.813986
131,10.1894,33.4314214
132,10.4212,34.191957200000004
133,10.4596,34.317947600000004
